iter	Logloss
172	0.2514248818
173	0.2510012039
174	0.2503616422
175	0.2498144834
176	0.2493850528
177	0.2489377233
178	0.248639046
179	0.2480545697
180	0.2475951077
181	0.2472282956
182	0.2468760153
183	0.2463770533
184	0.2460165962
185	0.245709102
186	0.2452506215
187	0.2447646575
188	0.2443010457
189	0.2436761413
190	0.2432428326
191	0.2427826062
192	0.2420407985
193	0.2416390275
194	0.2412708536
195	0.2409188041
196	0.2406548507
197	0.2400454218
198	0.2397135472
199	0.2392087209
200	0.2388170012
201	0.2383330127
202	0.2378428994
203	0.2374177296
204	0.2370008221
205	0.2366237846
206	0.2361774051
207	0.2358182239
208	0.2353559462
209	0.2350195297
210	0.2345352382
211	0.2341099834
212	0.233588254
213	0.2330469633
214	0.2324444307
215	0.2320949792
216	0.231810002
217	0.2315039784
218	0.2311651482
219	0.2308014655
220	0.230459792
221	0.2299709091
222	0.2297412146
223	0.2294051435
224	0.2290240878
225	0.2285048265
226	0.2280446956
227	0.2275037518
228	0.226983742
229	0.2266150579
230	0.2262033434
231	0.2256197827
232	0.225191343
233	0.2248095906
234	0.2244872665
235	0.224073576
236	0.2238448454
237	0.2234943623
238	0.2232609991
239	0.2228819752
240	0.2226169604
241	0.2221931763
242	0.2217945091
243	0.2213091532
244	0.2209898672
245	0.2207158957
246	0.2203970059
247	0.2201039317
248	0.2196552689
249	0.21927136
250	0.2190734591
251	0.2187160916
252	0.2182193165
253	0.2178981405
254	0.2176101517
255	0.2171638299
256	0.2167377717
257	0.2165110224
258	0.2162013205
259	0.2157954949
260	0.2153532792
261	0.2149957091
262	0.2146063451
263	0.214242861
264	0.2138395846
265	0.2134324036
266	0.2132093661
267	0.2129057906
268	0.2125731823
269	0.212254409
270	0.2120277003
271	0.2116304515
272	0.211381512
273	0.2110814758
274	0.210719749
275	0.210530068
276	0.2100659454
277	0.2097017833
278	0.2093806304
279	0.2091672821
280	0.2089169311
281	0.2085550359
282	0.2081592304
283	0.2078137961
284	0.207490876
285	0.207279593
286	0.2070551862
287	0.2068628224
288	0.2065173111
289	0.2061869915
290	0.2058971847
291	0.2055731036
292	0.2052020325
293	0.2049162341
294	0.2047012827
295	0.2043133278
296	0.2040975233
297	0.2036599925
298	0.2033925791
299	0.2031597127
300	0.2028658804
301	0.2025985834
302	0.2022172175
303	0.2019164353
304	0.2016743847
305	0.2015017229
306	0.2012411454
307	0.2009921709
308	0.2006905307
309	0.2003611546
310	0.2001020689
311	0.1998974726
312	0.1996530543
313	0.1992313382
314	0.1988197764
315	0.1985401128
316	0.1983072651
317	0.1979778998
318	0.1975942706
319	0.1973560814
320	0.1970416968
321	0.1967293306
322	0.1965164506
323	0.1963320183
324	0.1960189546
325	0.1957186992
326	0.1952866639
327	0.194919829
328	0.1945735784
329	0.1943074143
330	0.1940310081
331	0.1936742871
332	0.1934279549
333	0.1932725145
334	0.1930163459
335	0.1925818846
336	0.1923316417
337	0.1920599374
338	0.1917998391
339	0.1915744396
340	0.1914304374
341	0.1911819495
342	0.1907125507
343	0.1904614414
344	0.1902141387
345	0.189950818
346	0.189725789
347	0.1894544717
348	0.1891958664
349	0.1889544962
350	0.1884472186
351	0.1882831907
352	0.1879736536
353	0.1876901523
354	0.1873278759
355	0.187115157
356	0.1868240401
357	0.186676509
358	0.1864465837
359	0.186288676
360	0.1861065232
361	0.185887528
362	0.1856766757
363	0.1854411029
364	0.185145949
365	0.1849026202
366	0.1846832692
367	0.1844832709
368	0.1841518523
369	0.1839663714
370	0.1836237104
371	0.1834310206
372	0.1832372768
373	0.1830214163
374	0.1825670046
375	0.1823365899
376	0.1820861221
377	0.1818821325
378	0.1816222743
379	0.1814046302
380	0.1812366254
381	0.1810973748
382	0.1807876301
383	0.1806047794
384	0.1803357064
385	0.1801301385
386	0.1799376821
387	0.1796659885
388	0.1793679114
389	0.1790958572
390	0.1788104972
391	0.1786378965
392	0.1784949295
393	0.1782588749
394	0.1779868291
395	0.1778324766
396	0.1775248631
397	0.17724218
398	0.1769824873
399	0.1767794453
400	0.1765511863
401	0.1763507512
402	0.1761179627
403	0.1759191465
404	0.1756695794
405	0.1754227402
406	0.1752230404
407	0.1750461801
408	0.1748478483
409	0.1746395376
410	0.1741974967
411	0.1739791931
412	0.1737158625
413	0.173479782
414	0.1732666038
415	0.1730702598
416	0.1728275511
417	0.1726141346
418	0.17241331
419	0.1720997725
420	0.1718661997
421	0.1715987257
422	0.1714302207
423	0.1712284482
424	0.1709815858
425	0.1707023454
426	0.1704948723
427	0.170302047
428	0.1701005529
429	0.1699428567
430	0.169719736
431	0.1694927928
432	0.1693091441
433	0.1691382605
434	0.1689098243
435	0.1685246431
436	0.1683391996
437	0.1681809351
438	0.1679531463
439	0.1677027834
440	0.1674751849
441	0.1672214752
442	0.1669746999
443	0.1666747583
444	0.1664405366
445	0.1662856667
446	0.1661539562
447	0.1658874281
448	0.1656917575
449	0.1654826341
450	0.1653447343
451	0.1651505446
452	0.1649117677
453	0.164769506
454	0.1645807465
455	0.1642445917
456	0.164012064
457	0.1638326987
458	0.1636289097
459	0.1633629198
460	0.1631585574
461	0.1629871316
462	0.1628038576
463	0.1625273819
464	0.1622760751
465	0.1620872912
466	0.1618929096
467	0.1617028372
468	0.1615062781
469	0.1612480087
470	0.1611045741
471	0.1609148378
472	0.160733906
473	0.1605580108
474	0.1603443369
475	0.1600950144
476	0.1599307968
477	0.1597800301
478	0.1596152018
479	0.1594599437
480	0.159249272
481	0.1590434647
482	0.1588190117
483	0.1585934267
484	0.1583947406
485	0.1581268662
486	0.1579101465
487	0.1576596632
488	0.1573820069
489	0.1572475749
490	0.1571044507
491	0.1569322357
492	0.1567692359
493	0.1565760875
494	0.1563726038
495	0.1560605914
496	0.1559199214
497	0.1557825271
498	0.1556238412
499	0.1555005796
