iter	Logloss
0	0.67127768
1	0.6517847181
2	0.6346680342
3	0.6160143074
4	0.6021047127
5	0.5886903252
6	0.5739744089
7	0.5616710643
8	0.5498639513
9	0.5380911946
10	0.5273959484
11	0.5177545734
12	0.5080250259
13	0.500527406
14	0.4928999297
15	0.4862898198
16	0.4780414111
17	0.4705168872
18	0.4635526802
19	0.4579080491
20	0.4511038797
21	0.4451996667
22	0.4393211719
23	0.4347428847
24	0.4298987955
25	0.4259151837
26	0.4222557104
27	0.418076631
28	0.4150713803
29	0.4116628
30	0.4089229304
31	0.4057433401
32	0.402072111
33	0.3985364947
34	0.39511736
35	0.3922477365
36	0.3901926784
37	0.3873876095
38	0.3846311581
39	0.38226567
40	0.3794981618
41	0.3771067565
42	0.375009993
43	0.3721964123
44	0.370024332
45	0.3679908734
46	0.3661289861
47	0.3638463236
48	0.3621868124
49	0.3603533654
50	0.358880086
51	0.3572920598
52	0.3551508323
53	0.3534401449
54	0.3514192984
55	0.3495924735
56	0.3482140073
57	0.3467193543
58	0.3449901804
59	0.3438169504
60	0.342668379
61	0.3410485227
62	0.3392632441
63	0.3377433004
64	0.3360475605
65	0.3347136152
66	0.3336825294
67	0.3322716492
68	0.3311159097
69	0.3297472436
70	0.3285195781
71	0.3274248833
72	0.3259045627
73	0.3245367118
74	0.3234952042
75	0.3226477755
76	0.3215112263
77	0.3204439096
78	0.3193673338
79	0.3185230059
80	0.3172491583
81	0.3160398929
82	0.3148137422
83	0.3138968801
84	0.3129741016
85	0.3121810786
86	0.3114888958
87	0.3106660793
88	0.3097847108
89	0.3088540702
90	0.3080989907
91	0.3070183748
92	0.3061880479
93	0.3052185551
94	0.3043341665
95	0.3034404072
96	0.3025778139
97	0.301500126
98	0.3007205944
99	0.2998147125
100	0.2989116506
101	0.297863273
102	0.2971397135
103	0.2962640607
104	0.2954886811
105	0.2947143183
106	0.2938556026
107	0.2933416826
108	0.2921453802
109	0.2913683274
110	0.2905520211
111	0.2898376401
112	0.2892405545
113	0.2886575275
114	0.2881811996
115	0.2875081883
116	0.2868623612
117	0.2863650917
118	0.2857580367
119	0.2845591315
120	0.2838189157
121	0.2831210045
122	0.2818884072
123	0.2811668509
124	0.2803736275
125	0.2792389898
126	0.2786102919
127	0.2781375025
128	0.2773858353
129	0.2765431549
130	0.2758506255
131	0.2751855747
132	0.2743141979
133	0.2736823021
134	0.2730026764
135	0.2723693601
136	0.2717630688
137	0.2710034499
138	0.2704061499
139	0.2697672207
140	0.2692463262
141	0.26877487
142	0.2679284689
143	0.2674220347
144	0.2668346431
145	0.2664252404
146	0.2661080632
147	0.2655464713
148	0.2647191262
149	0.2642187099
150	0.2638239917
151	0.2632047523
152	0.2624488412
153	0.2616599531
154	0.2613662466
155	0.2607579603
156	0.2603558233
157	0.2599931822
158	0.2591072495
159	0.258354736
160	0.2577305744
161	0.2572028955
162	0.2567742678
163	0.2562539533
164	0.2559220092
165	0.2551909384
166	0.2545721584
167	0.2542944255
168	0.2537238015
169	0.2531513936
170	0.2524033385
171	0.2517949029
