Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time,Experiment
CNN-BiLSTM-Attention,cnn_bilstm_attention,deep_learning,0.9990613929424306,0.00041945805360902054,1871.8374701499938,0.9845130765273292,0.9893104171033327,0.8881118881118881,4720,127,16,51,7713.102605104446,bilstm_base_smote_full
CNN-BiLSTM-Attention,cnn_bilstm_attention,deep_learning,0.9985085654996178,0.0005235936739110596,1950.840693283081,0.9812444943444735,0.991406413749738,0.8671328671328671,4730,124,19,41,2633.5234789848328,bilstm_base_smote_12000
