Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time
LightGBM,lgbm,sklearn,0.9920368782769742,0.0015346180246515483,4.90491681098938,0.9471471726764118,0.9876336197862083,0.6713286713286714,4712,96,47,59,5.0177531242370605
Random Forest,rf,sklearn,0.9904353743843102,0.0010821543897379098,6.421712589263916,0.9448203232525177,0.9911968140850974,0.5804195804195804,4729,83,60,42,8.428229808807373
CatBoost,catboost,sklearn,0.9821973857722387,0.002182784621619696,1.1668756008148193,0.9375114510306294,0.9423600922238524,0.8041958041958042,4496,115,28,275,1.2598309516906738
CNN-LSTM,cnn_lstm,deep_learning,0.9780927813142257,0.0018976235449260806,305.92177839279174,0.9284517620296282,0.9224481240830015,0.7762237762237763,4401,111,32,370,820.6873459815979
MLP,mlp,sklearn,0.9893859945894405,0.0008134856550744754,27.886172437667845,0.926585152428791,0.9838608258226786,0.5874125874125874,4694,84,59,77,44.248191118240356
Extra Trees,extra_trees,sklearn,0.9771737715588958,0.001671997096143258,0.7334541320800781,0.9238552267267421,0.9991616013414378,0.2867132867132867,4767,41,102,4,0.812136173248291
XGBoost,xgb,sklearn,0.9748594178526526,0.002956568934629524,0.6568947315216065,0.9187127062834461,0.9976944036889541,0.4125874125874126,4760,59,84,11,0.6783239841461182
ResNet-1D,resnet1d,deep_learning,0.9617806519191914,0.004080095027310682,52.21644239425659,0.9104467111174299,0.9427792915531336,0.6923076923076923,4498,99,44,273,98.12503290176392
Dilated-CNN,dilated_cnn,deep_learning,0.9467297829186702,0.003210602563180113,57.68165125846863,0.8974090256840206,0.9243345210647663,0.7062937062937062,4410,101,42,361,106.64642000198364
Attention-CNN,attn_cnn,deep_learning,0.9337702097463649,0.0038889154858563735,115.29069228172303,0.8828484447851457,0.8490882414588137,0.7832167832167832,4051,112,31,720,214.61446714401245
Logistic Regression,logreg,sklearn,0.851193179437135,0.007079921676425498,0.46974987983703614,0.8246530246111047,0.8153426954516872,0.7062937062937062,3890,101,42,881,0.48386693000793457
1D-CNN (Base),cnn_base,deep_learning,0.9146457374078718,0.02102462939606539,45.31293115615845,0.8176673462777004,0.5937958499266401,0.8391608391608392,2833,120,23,1938,83.93969702720642
