Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time
CNN-LSTM,cnn_lstm,deep_learning,0.9916503838391229,0.0006178752349047564,566.0609892845154,0.9271282061053597,0.9610144623768602,0.6573426573426573,4585,94,49,186,1058.227499961853
XGBoost,xgb,sklearn,0.9844686427832536,0.0012139924387110986,0.7328354358673096,0.9202978953555354,0.9400544959128065,0.7692307692307693,4485,110,33,286,0.7694368362426758
Dilated-CNN,dilated_cnn,deep_learning,0.9675621832270856,0.0024036341288082683,104.53711080551147,0.9127669647476815,0.8725634038985538,0.7972027972027972,4163,114,29,608,204.95618796348572
ResNet-1D,resnet1d,deep_learning,0.9812094906479162,0.0006378663579782594,100.24761581420898,0.9047669999252477,0.9251729197233285,0.7412587412587412,4414,106,37,357,192.48712396621704
Attention-CNN,attn_cnn,deep_learning,0.9541093468927645,0.004163382261952132,206.95450711250305,0.8875930190120088,0.8088451058478306,0.8251748251748252,3859,118,25,912,382.9010000228882
Simple-CNN,cnn_base,deep_learning,0.8889844330237097,0.040256600551390985,86.85468349456787,0.8065680913092357,0.7857891427373717,0.7482517482517482,3749,107,36,1022,159.3804759979248
